,Rank,Menu,Cafe,Price,Address
0,1,BLT,Old Oak Tap,$10,2109 W. Chicago Ave.
1,2,Fried Bologna,Au Cheval,$9,800 W. Randolph St.
2,3,Woodland Mushroom,Xoco,$9.50,445 N. Clark St.
3,4,Roast Beef,Al’s Deli,$9.40,"914 Noyes St., Evanston"
4,5,PB&L,Publican Quality Meats,$10,825 W. Fulton Mkt.
5,6,Belgian Chicken Curry Salad,Hendrickx Belgian Bread Crafter,$7.25,100 E. Walto
6,7,Lobster Roll,Acadia,$16,1639 S. Wabash Ave.
7,8,Smoked Salmon Salad,Birchwood Kitchen,$10,2211 W. North Ave.
8,9,Atomica Cemitas,Cemitas Puebla,$9,3619 W. North Ave.
9,10,Grilled Laughing Bird Shrimp and Fried Po’ Boy,Nana,$17,3267 S. Halsted St.
10,11,Ham and Raclette Panino,Lula Cafe,$11,2537 N. Kedzie Blvd.
11,12,Breaded Steak,Ricobene’s,$5.49,Multipl
12,13,The Hawkeye,Frog n Snail,$14,3124 N. Broadway
13,14,Chicken Dip,Crosby’s Kitchen,$10,3455 N. Southport Ave.
14,15,Wild Boar Sloppy Joe,Longman & Eagle,$13,2657 N. Kedzie Ave.
15,16,Meatball Sub,Bari,$4.50,1120 W. Grand Ave.
16,17,Corned Beef,Manny’s,$11.95,1141 S. Jefferson St.
17,18,Turkey Club,Eggy’s,$11.50,333 E. Benton Pl.
18,19,Falafel,Old Jerusalem,$6.25,1411 N. Wells St.
19,20,Crab Cake,Mindy’s HotChocolate,$15,1747 N. Damen Ave.
20,21,Chicken Schnitzel,Olga’s Delicatessen,$5,3209 W. Irving Par
21,22,Shawarma,Dawali Mediterranean Kitchen,$6,Multipl
22,23,Toasted Pimiento Cheese,Big Jones,$8,5347 N. Clark St.
23,24,Vegetarian Panino,La Pane,$5.99,2954 W. Irving Park Rd.
24,25,Cali Chèvre,Pastoral,$7.52,Multipl
25,26,Pastrami,Max’s Deli,$11.95,"191 Skokie Valley Rd., Highland Park"
26,27,The Fredo,Lucky’s Sandwich Co.,$7.50,Multipl
27,28,Smoked Ham,City Provisions,$12.95,1818 W. Wilson Ave.
28,29,Jibarito,Papa’s Cache Sabroso,$7,2517 W. Division St.
29,30,Shaved Prime Rib,Bavette’s Bar & Boeuf,$21,218 W. Kinzi
30,31,Serrano Ham and Manchego Cheese,Hannah’s Bretzel,$9.79,Multipl
31,32,Tuna Salad,La Fournette,$9.75,1547 N. Wells St.
32,33,Paramount Reuben,Paramount Room,$13,415 N. Milwaukee Ave.
33,34,The Istanbul,Melt Sandwich Shoppe,$7.95,1840 N. Damen Ave.
34,35,B.A.D.,Floriole Cafe & Bakery,$9,1220 W. Webster Ave.
35,36,Duck Confit and Mozzarella,First Slice Pie Café,$9,5357 N. Ashland Ave.
36,37,Croque Monsieur,Troquet,$8,1834 W. Montrose Ave.
37,38,Green Garbanzo,Grahamwich,$8,615 N. State St.
38,39,The Hen House,Saigon Sisters,$7,Multipl
39,40,Tuscan Chicken,Rosalia’s Deli,$6,"241 N. York Rd., Elmhurst"
40,41,The Marty ,Z&H MarketCafe,$7.25,1323 E. 57th St.
41,42,Whitefish,Market House on the Square,$11,"655 Forest Ave., Lake Forest"
42,43,"Oat Bread, Pecan Butter, and Fruit Jam",Elaine’s Coffee Call,$6,"Hotel Lincoln, 1816 N. Clark St."
43,44,Cauliflower Melt,Marion Street Cheese Market,$9,"100 S. Marion St., Oak Park"
44,45,Cubana,Cafecito,$5.49,26 E. Congress Pkwy.
45,46,Kufta,Chickpea,$8,2018 W. Chicago Ave.
46,47,Debbie’s Egg Salad,The Goddess and Grocer,$6.50,25 E. Delaware Pl.
47,48,Beef Curry,Zenwich,$7.50,"416 N. York St., Elmhurst"
48,49,Le Végétarien,Toni Patisserie,$8.75,65 E. Washington St.
49,50,The Gatsby,Phoebe’s Bakery,$6.85,3351 N. Broadway
